num_atoms,logP,predicted_pIC50
32,3.975900000000002,6.317
37,3.794480000000002,7.2143
24,4.239220000000002,6.329158333333331
27,3.343700000000001,6.620199999999996
34,3.371800000000002,6.0438933333333305
31,4.139580000000002,6.624399999999993
31,2.3242000000000003,6.838834999999994
23,0.4977000000000005,6.944533333333336
44,5.803120000000004,5.739199999999995
22,2.0693200000000003,6.461989999999999
48,5.319120000000004,6.758500000000005
30,3.8213000000000026,5.703200000000002
39,4.926000000000003,6.592805000000002
29,3.3007800000000023,6.857679999999996
31,4.846900000000004,6.0395
31,3.626980000000001,7.241933333333336
37,5.658000000000005,6.573200000000006
30,3.548280000000001,6.723383333333344
13,2.768690000000001,6.688724999999998
28,2.3189,6.973086666666671
34,4.156980000000003,6.7717399999999905
40,5.790600000000004,5.815733333333328
32,4.223380000000002,6.505958333333333
25,1.5938,6.521999999999999
24,4.450400000000003,6.902299999999988
28,2.7069,6.53846666666666
25,1.81,6.651650000000001
37,4.290000000000004,5.5531999999999995
37,3.279300000000001,6.8319266666666625
29,2.0810999999999997,6.820499999999993
31,3.687380000000002,6.974
33,3.295200000000002,5.984333333333332
25,2.987300000000001,6.665320000000001
27,1.3256799999999993,7.201400000000009
38,3.793600000000003,7.210073333333334
35,4.344900000000003,6.438400000000006
29,3.053400000000001,6.7275500000000035
23,0.8024000000000003,6.438346666666669
26,4.468600000000003,6.212166666666662
34,3.5859000000000023,6.314089999999998
39,4.411700000000002,7.053233333333326
31,3.407700000000001,7.065120714285712
33,4.460480000000003,6.693255952380956
32,3.5632800000000016,6.7022
22,3.5694000000000017,6.191400000000003
29,3.2177000000000016,6.797183333333334
19,2.3636,6.815999999999995
30,2.4478,6.836006666666671
22,1.7511000000000003,6.402396168831169
35,4.3170800000000025,6.263750000000004
36,4.908280000000003,6.530795595238093
26,1.8838,6.066700000000001
25,2.926100000000001,6.587666666666669
23,3.5242800000000027,6.6487666666666705
27,3.789100000000002,5.490200000000003
25,3.7493000000000007,6.762699999999999
27,3.394280000000001,6.840000000000003
22,2.151,6.163524999999997
27,3.7970200000000016,5.988800000000006
36,3.6405800000000026,7.056475000000006
22,2.4732000000000003,6.404775
33,3.8454000000000015,5.714966666666661
30,2.97358,7.331755129870128
25,4.2371000000000025,5.909871666666663
21,1.3945999999999994,6.996399999999994
23,4.614420000000003,6.36220833333333
33,4.365880000000002,6.567883333333338
31,3.683480000000001,6.790675
27,4.271900000000003,6.0726249999999995
21,2.9407000000000005,6.908483333333329
25,3.384520000000002,6.700440000000002
36,4.027400000000003,7.06586666666666
22,2.810200000000001,6.663185000000001
24,1.95128,6.618549523809524
30,2.1909,6.397539999999997
22,1.0846,6.8059392857142855
27,2.0546799999999994,6.2982999999999985
28,3.5081000000000016,5.7571
23,2.7534,6.582225000000001
32,3.954600000000003,6.907100000000005
23,2.6779,6.826209047619046
36,7.006180000000006,5.526533333333334
22,2.12822,6.560100000000001
30,2.969500000000002,6.850152373737376
24,3.011400000000001,6.927386666666669
38,6.402100000000005,6.4653000000000045
23,3.128590000000001,6.472535238095238
30,4.000480000000002,6.318899999999997
29,2.46988,7.153674999999998
38,6.402100000000005,6.4653000000000045
40,3.0471000000000004,6.657000000000002
37,4.364480000000003,6.001699999999996
32,2.659790000000001,6.9169999999999945
20,3.07772,6.972300000000002
31,3.032800000000001,6.440600000000002
29,2.0710999999999986,6.820499999999993
28,2.9662000000000006,7.019613333333333
25,2.7797,6.545550000000003
26,3.700000000000001,6.897124999999988
29,2.775980000000001,6.283871666666665
35,3.287420000000002,6.461099999999999
37,3.359700000000002,7.003399999999991
27,2.7186000000000003,6.897324523809516
40,5.538300000000004,7.161100000000001
