num_atoms,logP,predicted_pIC50
38,4.285600000000003,6.549233333333333
26,1.9018999999999997,6.125075000000002
40,5.0026000000000055,6.998366666666657
32,2.7945,6.417670000000006
30,3.6852800000000014,7.113374999999998
30,3.5067200000000023,6.473366666666669
31,3.0784800000000008,6.831750000000004
28,1.5630999999999993,6.775799999999995
31,3.9003000000000014,6.941598333333327
22,1.7511000000000003,6.402396168831169
26,2.6366000000000005,6.132213333333341
30,2.90378,6.768725357142863
33,3.8454000000000015,5.714966666666661
33,4.319580000000003,6.693733333333334
25,3.8519200000000016,6.079625000000004
37,5.231500000000004,6.034400000000001
25,2.24716,6.850200000000005
35,4.3170800000000025,6.263750000000004
32,2.5946000000000007,6.961200000000002
27,1.9991,6.378699999999998
37,3.7090000000000014,7.115500000000003
32,4.156100000000003,6.983200000000003
30,1.0756000000000006,6.6376000000000035
35,3.095800000000001,6.996633333333338
25,4.037000000000003,6.68977500000001
21,3.6526000000000014,6.455920000000001
36,5.634600000000004,6.930300000000002
31,3.508600000000002,6.66831666666667
31,2.9922000000000013,7.105840000000008
37,5.069500000000005,5.630100000000003
24,4.239220000000002,6.329158333333331
28,3.497200000000001,6.915500000000003
33,3.295200000000002,5.984333333333332
41,6.579200000000006,6.229900000000002
26,3.125320000000001,6.440220000000003
28,3.7307000000000032,6.6883499999999945
27,2.0013999999999994,6.325499999999997
32,4.351900000000003,6.8092
32,4.204300000000004,6.687058333333337
39,5.148200000000004,6.560111666666667
27,3.131800000000002,6.441199999999994
33,3.8454000000000015,5.714966666666661
33,1.9871,6.381500000000005
25,6.328800000000003,6.1025
33,3.3729000000000013,6.090626666666664
38,4.399200000000002,6.915266666666664
27,2.7556900000000004,6.919148333333323
17,3.331800000000002,6.24942
35,3.6373000000000015,6.81353333333334
27,2.33348,6.972200000000002
19,2.711100000000001,6.73525
29,4.935020000000003,5.480174999999999
26,0.2100999999999996,6.1617000000000015
32,1.9908999999999992,6.7488000000000055
30,4.386300000000003,6.228399999999994
19,3.497300000000002,6.052700000000001
25,1.8219999999999992,6.63965
28,3.3848800000000008,6.435233333333333
21,1.3961999999999994,6.631599999999995
28,3.318080000000001,7.131719999999993
26,3.492000000000001,6.5022346428571405
28,2.5186800000000007,6.819284999999996
36,3.8755000000000015,6.740800000000002
28,4.016000000000003,6.517750000000009
27,1.8648800000000003,6.1983
24,3.6844800000000015,6.7547250000000005
25,2.2333,6.863350000000006
29,4.300200000000003,6.279433333333333
30,4.009500000000002,6.248599999999997
32,3.5384800000000016,6.7063999999999995
31,0.990800000000001,6.768500000000002
24,2.339200000000001,6.45255
23,2.3144,6.6617999999999995
43,6.342120000000007,6.264599999999996
32,1.8363999999999996,7.1271
29,3.474000000000001,6.75506047619048
36,3.7414200000000015,7.098683333333339
32,4.457100000000003,7.113043333333338
26,2.4634,6.9523499999999965
25,3.616580000000001,6.744499999999997
31,4.615300000000003,6.374399999999997
21,2.18482,6.231449999999995
27,3.2468200000000014,6.8225416666666625
33,4.462080000000003,6.645754047619051
28,1.1884,6.560200000000001
28,2.5526800000000005,6.943278333333332
28,1.955,6.702010000000002
29,3.6720900000000007,5.964249999999995
43,5.677700000000003,5.834799999999994
41,5.434700000000006,7.042849999999998
16,2.4729,6.744799999999999
25,4.420600000000002,6.688908333333327
30,3.910000000000002,6.062033333333335
26,3.0429000000000013,6.135183333333337
31,2.97898,7.207616428571438
19,3.7262200000000014,6.168824999999997
